url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
,"Batman Returns",Movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,333768,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
,"A Nightmare on Elm Street",Movie,Horror,1984,tt0087800,7.4,270053,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, PA, PE, PY, SV, TC, US, UY, VE"
,"Rain Man",Movie,Drama,1988,tt0095953,8,554650,"CZ, RO"
,"Inside Man",Movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,404333,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"A Fistful of Dollars",Movie,"Action, Drama, Western",1964,tt0058461,7.9,238060,"AG, BB, BS, HN, NI, RS, TT"
,"Who's Afraid of Virginia Woolf?",Movie,Drama,1966,tt0061184,8,81210,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"French Kiss",Movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,53940,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
,Capote,Movie,"Biography, Crime, Drama",2005,tt0379725,7.3,142709,"BA, BG, HR, MD, ME, MK, SI, SK"
,"Garden State",Movie,"Comedy, Drama, Romance",2004,tt0333766,7.4,224821,US
,"Driving Miss Daisy",Movie,"Comedy, Drama",1989,tt0097239,7.3,119096,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"La Strada",Movie,Drama,1954,tt0047528,8,67369,"AG, BB, BS, HN, NI, TT, US"
,"Batman Forever",Movie,"Action, Adventure",1995,tt0112462,5.4,270293,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
,"Batman & Robin",Movie,"Action, Sci-Fi",1997,tt0118688,3.8,271790,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
,8½,Movie,Drama,1963,tt0056801,8,127012,"AG, BB, BS, DK, FI, HN, NI, NO, RS, SE, TT, US"
,"Schindler's List",Movie,"Biography, Drama, History",1993,tt0108052,9,1482083,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
,"Ice Age",Movie,"Adventure, Animation, Comedy",2002,tt0268380,7.5,530171,"CZ, RO"
,Vertigo,Movie,"Mystery, Romance, Thriller",1958,tt0052357,8.3,435561,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
,"My Uncle",Movie,Comedy,1958,tt0050706,7.7,24630,"AG, BB, BS, HN, NI, TT, US"
,"The Good, the Bad and the Ugly",Movie,"Adventure, Drama, Western",1966,tt0060196,8.8,827944,"AG, BB, BS, HN, NI, RS, TT"
